GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Montclare,12646,13426,780,13024,3409,2937,2708,2364,1213,393,35.88679348,3637,8114,577,615,81,12941,10191,6432,5737,696,3759,108,5373,3798,570,765,101,140,8532,6618,1316,1049,1412,605,564,610,186,43014.98127,4425,2642,1782,584,5008,2520,91,820,648,928,5.54057971,545,635,2173,1655,-9999,827,2017,1402,468,293,534,1646,418,44,208347.9789,5114,Manufacturing,Health Care,Retail Trade,Administration,Accommodation and Food Service,615,593,586,516,461,2298,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Other Service,689,549,412,195,89,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,2595,692,270,176,127,Outside of Chicago,Belmont Cragin,Montclare,Austin,Portage Park,1264,116,109,84,74,,,,,,,,,,,,,,,,13473,,,,,,,,,,0.80278037,633.066887,249.1458435,0.393553744,66.42205589,0.104921071,5.827577207,0.00920531,55.15908079,0.087129941,28.52730642,0.045062073,19.82620833,0.031317715,193.1690767,0.305132176,n/a,n/a,10.45541153,0.016515493,4.534326683,0.007162476
Morgan Park,25226,22544,-2682,22924,5741,3857,3934,5241,2695,1457,42.66311761,6558,641,15126,54,545,22564,18423,10699,9377,1314,7724,305,8864,6713,275,1590,247,38,15652,14224,5023,1793,1676,1315,1193,1320,841,60747.01195,8139,5974,2165,868,9007,6426,462,307,546,1215,6.533657745,564,1240,4597,2607,-9999,826,2022,3798,1827,533,2063,3062,763,86,184338.8031,9155,Education,Health Care,Public Administration,Retail Trade,Administration,1398,1385,1229,765,692,3176,Health Care,Retail Trade,Accommodation and Food Service,Education,Professional,893,797,416,220,205,Outside of Chicago,The Loop,Near West Side,Near North Side,Morgan Park,3605,2600,460,385,232,Outside of Chicago,Morgan Park,Beverly,West Pullman,Mount Greenwood,1671,232,120,82,72,,,,,,,,,,,,,,,,16625,,,,,,,,,,2.987908199,2109.213554,907.7430401,0.430370381,70.63618265,0.033489346,6.631301153,0.003143969,106.7507638,0.050611643,183.0895986,0.086804676,63.01707194,0.029877047,645.8754783,0.306216256,n/a,n/a,68.49480755,0.032474098,56.97530954,0.027012585
Mount Greenwood,18820,19093,273,18783,5513,3510,4122,3516,1488,634,36.31415575,16289,1205,664,383,242,18056,14574,9475,8791,672,5099,178,8398,7170,406,615,175,32,12040,11451,4274,748,817,1078,1007,1912,895,89535.74975,6457,5621,836,559,7016,6134,38,28,179,622,6.207945376,228,1124,4994,670,-9999,403,1769,3536,979,329,745,3787,1009,80,228886.8613,9757,Public Administration,Education,Health Care,Retail Trade,Accommodation and Food Service,2123,1561,1098,670,607,2915,Education,Retail Trade,Health Care,Accommodation and Food Service,Administration,1036,514,439,257,200,Outside of Chicago,The Loop,Near North Side,Near West Side,Mount Greenwood,4303,3203,334,313,228,Outside of Chicago,Mount Greenwood,Beverly,Morgan Park,Ashburn,1894,228,94,66,44,,,,,,,,,,,,,,,,20779,,,,,,,,,,1.617153019,1735.176548,747.9272577,0.431038132,19.69116268,0.011348219,7.91974293,0.004564229,36.74414787,0.021176028,524.1491926,0.302072543,0.181815787,0.000104782,365.2657538,0.210506392,n/a,n/a,30.37498515,0.017505415,2.922489367,0.001684261
Near North Side,72811,80484,7673,85711,7721,36283,14429,14208,10183,2887,34.47304833,61334,4530,7910,9723,2214,83788,79466,58990,55273,3717,20476,4323,50102,14458,1373,14048,17115,3108,71363,69676,56374,9766,6404,7991,6819,7974,14810,84975.8029,53764,21884,31880,9769,63533,1555,1837,533,1570,58031,3.733956404,16300,24485,13919,8829,-9999,36082,18217,7620,1253,361,971,5441,6591,7094,396356.6508,43261,Professional,Finance,Health Care,Education,Accommodation and Food Service,8989,5290,4644,3645,2947,150936,Accommodation and Food Service,Professional,Retail Trade,Health Care,Other Service,28550,20814,16824,14072,12178,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,13654,12496,7480,3213,748,Outside of Chicago,Near North Side,Lake View,West Town,Lincoln Park,65776,7480,7309,5002,4060,,,,,,,,,,,,,,,,6581,,,,,,,,,,0.869382966,1754.479942,86.01537429,0.049026137,294.4461692,0.167825327,22.61736701,0.012891209,296.5091104,0.16900114,121.1155957,0.069032192,82.6972892,0.04713493,715.4540417,0.40778696,0.981433057,0.000559387,74.51568336,0.042471664,60.127878,0.034271055
Near South Side,9509,21390,11881,22401,3634,7309,5679,3605,1827,347,35.4879157,10404,1393,5382,4450,772,22195,19032,15480,14893,583,3552,937,13388,6336,1011,3893,1624,524,17356,16245,12206,2082,2036,1967,1212,2181,3011,78290.0165,12489,6025,6464,1876,14365,422,1408,54,374,12107,3.808596838,9477,2283,1107,1498,-9999,5561,6580,1824,358,42,111,2009,2252,1556,353215.6368,10920,Professional,Health Care,Education,Finance,Administration,1771,1612,1262,1124,681,14620,Arts and Entertainment,Health Care,Accommodation and Food Service,Administration,Construction,3695,3129,2710,1516,731,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,3322,3015,1152,994,519,Outside of Chicago,West Town,South Shore,Austin,Near South Side,5018,276,273,272,265,,,,,,,,,,,,,,,,10237,,,,,,,,,,7.499208877,1140.882985,57.52178512,0.050418655,96.60264637,0.08467358,8.569154193,0.007510984,320.7804734,0.281168602,48.58663805,0.042586872,21.7436975,0.019058657,335.4359809,0.29401436,n/a,n/a,167.9897781,0.147245406,83.65283124,0.073322884
Near West Side,46419,54881,8462,61768,12086,26997,11762,7005,3024,894,30.43560396,25876,6186,18772,9615,1319,56877,53553,38412,34543,3844,15141,1867,32186,12573,1600,8550,8796,667,41339,37942,27244,7277,3083,3933,2955,4663,5741,72143.14845,27652,10245,17407,2885,30537,1108,2677,1577,3231,21888,3.991077932,11822,7750,2926,8039,-9999,12984,11054,4903,1273,323,635,3804,4341,1404,321444.9918,26284,Professional,Health Care,Education,Finance,Administration,4223,3608,2854,2829,1858,129742,Health Care,Finance,Education,Professional,Administration,29566,18154,16118,15180,8504,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,7947,7307,3863,2303,527,Outside of Chicago,Lake View,Near West Side,West Town,Near North Side,64980,3929,3863,3649,3213,,,,,,,,,,,,,,,,10068,,,,,,,,,,0.900940249,3638.486377,146.5042512,0.040265164,351.1633728,0.096513587,47.57509833,0.013075519,392.9418268,0.107995959,567.4873173,0.155967965,300.5062441,0.082591004,1571.425148,0.431889798,n/a,n/a,55.64927728,0.015294623,205.2338412,0.056406379
New City,51721,44377,-7344,40997,13788,9660,8114,6303,2365,767,29.65387762,5061,24961,9827,799,349,40641,30092,18738,14608,4130,11354,294,13946,7425,2296,3164,1014,47,23402,15647,1794,4648,3783,1579,917,526,256,30420.91837,11710,4502,7203,3858,15564,3565,319,6070,3985,1597,5.399762752,772,1729,3690,9372,-9999,1989,5832,5601,1496,645,2473,1686,291,55,133750,11961,Manufacturing,Health Care,Retail Trade,Administration,Accommodation and Food Service,1488,1426,1354,1309,1261,10396,Manufacturing,Retail Trade,Wholesale Trade,Transportation,Other Service,4223,1310,1077,1047,827,Outside of Chicago,The Loop,Near West Side,New City,Near North Side,4597,1618,684,661,640,Outside of Chicago,New City,Brighton Park,Chicago Lawn,Bridgeport,4378,661,397,252,245,,,,,,,,,,,,,,,,11730,,,,,,,,,,2.031939776,3090.839378,244.780284,0.079195407,330.2377456,0.106844033,31.0413489,0.010043016,162.7661751,0.052660833,87.99330195,0.028469063,702.6391415,0.227329555,1141.026401,0.369163926,n/a,n/a,83.303435,0.026951719,307.0515449,0.099342446
North Center,31895,31867,-28,34623,7493,11068,9170,4035,2023,834,33.68496726,26322,4987,674,1493,1147,34542,27681,22271,21317,943,5410,1719,19385,9861,1302,6561,1511,150,25565,23859,17419,1480,2139,2303,1910,2717,3994,92663.61257,14543,7373,7170,1676,16219,3930,470,4021,3494,4284,5.678227598,2769,1577,1753,10120,-9999,3081,6722,3959,1601,856,339,1286,2277,3305,470878.0488,16804,Professional,Health Care,Education,Finance,Accommodation and Food Service,2661,1896,1818,1751,1286,9585,Finance,Retail Trade,Accommodation and Food Service,Manufacturing,Information,1940,1052,1008,997,858,Outside of Chicago,The Loop,Near North Side,Near West Side,North Center,5009,4461,1797,1171,555,Outside of Chicago,North Center,Lake View,Lincoln Square,Logan Square,3929,555,419,306,297,,,,,,,,,,,,,,,,11868,,,,,,,,,,1.116950826,1309.783474,238.6779324,0.182227015,303.3328493,0.231590072,46.82747115,0.035752071,73.45385682,0.056080916,76.23412486,0.058203609,87.00025744,0.066423389,437.1404076,0.333750132,n/a,n/a,38.67218846,0.029525635,8.444386415,0.006447162
North Lawndale,41768,35912,-5856,35276,12408,8324,5653,5820,2120,951,28.5875,811,2470,31397,99,499,34401,25141,12336,9450,2886,12805,448,8725,4347,805,2913,342,318,19565,14403,2134,5951,2436,1315,634,427,106,22383.48531,10869,2687,8182,3774,14643,1729,384,4055,4891,3565,5.594815668,1443,1079,1662,10459,-9999,1777,4892,6175,1463,336,1473,1021,146,47,135284.0909,10610,Health Care,Administration,Retail Trade,Education,Accommodation and Food Service,2120,1332,1223,983,913,5771,Manufacturing,Health Care,Retail Trade,Education,Wholesale Trade,1281,1048,764,684,566,Outside of Chicago,The Loop,Near West Side,Near North Side,North Lawndale,4062,1490,797,706,270,Outside of Chicago,North Lawndale,South Lawndale,Austin,West Town,2573,270,234,221,101,,,,,,,,,,,,,,,,8495,,,,,,,,,,4.859889409,2054.348526,112.5788429,0.054800265,353.5450887,0.172095963,20.74211119,0.010096686,72.11596276,0.035104055,126.7695824,0.061707924,227.8500305,0.110911088,671.9076839,0.327066063,n/a,n/a,171.4374588,0.08345101,297.4017653,0.144766948
North Park,18514,17931,-583,18442,4406,4007,3655,2729,2539,1106,38.18008032,9358,3632,473,4541,438,17774,14931,9334,8485,849,5597,371,7893,5039,878,1397,496,83,12831,11349,5831,1721,1464,971,847,774,753,51818.18182,6530,3301,3229,538,7068,2260,129,1055,1256,2339,5.572229141,307,1659,2675,2427,-9999,1807,2338,2165,556,202,371,1272,1411,220,299451.5539,6666,Health Care,Education,Retail Trade,Accommodation and Food Service,Professional,1137,700,678,601,528,5184,Health Care,Retail Trade,Education,Accommodation and Food Service,Manufacturing,909,741,618,601,568,Outside of Chicago,The Loop,Near North Side,Near West Side,North Park,2916,1039,366,255,197,Outside of Chicago,West Ridge,North Park,Albany Park,Belmont Cragin,2463,265,197,140,134,,,,,,,,,,,,,,,,15313,,,,,,,,,,13.26145784,1613.606662,250.8373656,0.15545137,247.8411877,0.153594549,5.21448075,0.003231569,79.26175296,0.049120864,390.9772243,0.242300205,70.33218996,0.043586948,316.2174052,0.195969323,n/a,n/a,244.5678055,0.151565937,8.357249774,0.005179236
Norwood Park,37543,37023,-520,36247,7398,5975,7934,8084,3987,2869,44.25344828,29297,4295,335,1520,800,35694,29620,19425,18031,1394,10194,525,17224,13507,1582,1767,333,35,27019,24911,9524,2418,2565,2520,1979,2803,2026,71282.05128,14311,11567,2743,1386,15696,11193,202,923,571,2797,5.943055883,298,2635,9529,3235,-9999,1931,4929,6668,1726,442,1329,5024,4368,802,286599.4563,18172,Public Administration,Health Care,Education,Retail Trade,Professional,2280,2195,2011,1588,1412,13648,Health Care,Administration,Accommodation and Food Service,Retail Trade,Finance,7976,1410,840,637,539,Outside of Chicago,The Loop,Near North Side,Norwood Park,Near West Side,8548,4062,848,717,606,Outside of Chicago,Norwood Park,Portage Park,Dunning,Belmont Cragin,7249,717,420,333,318,,,,,,,,,,,,,,,,14904,,,,,,,,,,3.087742836,2799.795813,1320.782312,0.47174237,133.6968989,0.047752375,13.14411831,0.00469467,98.05105154,0.035020787,197.6347709,0.070588994,15.39839564,0.005499828,895.5346184,0.319857117,n/a,n/a,111.9214146,0.039974849,13.63223333,0.00486901
O'Hare,11665,12756,1091,13695,3011,3191,3169,2372,1577,375,37.13712838,10316,1161,106,1501,612,13683,11064,7145,6522,624,3919,250,6092,4783,315,926,39,29,10250,8833,3297,2031,1249,1311,1006,458,267,46638.41808,6321,2778,3548,359,6685,861,38,435,390,4962,4.541978022,371,3420,2727,167,-9999,1840,3371,1392,14,67,1231,951,545,48,168483.4123,5231,Health Care,Retail Trade,Accommodation and Food Service,Manufacturing,Professional,632,486,452,446,418,48138,Transportation,Accommodation and Food Service,Information,Professional,Administration,27468,3589,2840,2745,2593,Outside of Chicago,The Loop,O'Hare,Near North Side,Near West Side,2774,766,426,184,134,Outside of Chicago,Lake View,Austin,Portage Park,West Town,32852,741,686,677,640,,,,,,,,,,,,,,,,31817,,,,,,,,,,106.2076201,8536.170971,97.33690873,0.011402877,134.0275587,0.015701133,n/a,n/a,139.8216881,0.016379907,55.98462537,0.006558517,32.67397287,0.003827708,6481.928012,0.759348429,n/a,n/a,1454.513358,0.170394122,139.8848473,0.016387306
Oakland,6110,5918,-192,6422,2248,1143,1468,977,511,75,32.51621622,142,209,5946,109,16,6422,4732,3155,2477,678,1577,108,2306,1160,178,880,75,13,3708,3156,1044,1279,709,348,130,149,178,28435.67251,2793,558,2235,345,3138,269,92,102,292,2383,4.40593047,1515,786,569,268,-9999,1022,1188,700,151,77,122,281,110,45,196666.6667,2206,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,410,291,229,203,193,249,Health Care,Real Estate,Accommodation and Food Service,Education,Retail Trade,115,56,50,16,4,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,597,511,198,191,83,Outside of Chicago,South Shore,Oakland,South Chicago,Austin,89,11,11,9,8,,,,,,,,,,,,,,,,10286,,,,,,,,,,10.38848323,372.036837,25.68035992,0.06902639,56.80901625,0.152697289,0.142606977,0.000383314,2.285026309,0.006141936,63.40070854,0.170415137,n/a,n/a,117.1550084,0.314901635,n/a,n/a,66.71483932,0.179323209,39.84927127,0.10711109
Portage Park,65340,64124,-1216,64841,15210,14414,14529,13380,5286,2023,37.92233952,32639,27107,812,2868,1415,64760,52653,37416,33926,3490,15237,793,32533,21454,3998,5830,856,395,45298,37503,11163,4722,5153,4606,2890,3154,2065,57030.70827,22589,12933,9657,2193,24782,10422,207,5835,4208,4047,5.751557745,592,2380,6982,14827,-9999,3992,9370,7170,2969,1281,1704,7031,3845,258,253753.9936,26218,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Administration,3340,2865,2585,2424,2219,7775,Retail Trade,Health Care,Accommodation and Food Service,Finance,Other Service,1957,1922,694,563,514,Outside of Chicago,The Loop,Near North Side,Near West Side,Portage Park,11895,3932,1570,1055,830,Outside of Chicago,Portage Park,Belmont Cragin,Dunning,Logan Square,3713,830,343,295,189,,,,,,,,,,,,,,,,15569,,,,,,,,,,1.080502206,2529.754309,936.1514518,0.370056273,401.2645449,0.15861799,42.14464847,0.016659582,145.7215322,0.057603037,90.09048821,0.035612347,21.74474068,0.008595594,811.8872371,0.320935213,n/a,n/a,70.06084356,0.027694722,10.68882231,0.004225241
Pullman,8921,7325,-1596,6501,1531,1353,1274,1316,820,207,40.04090909,464,551,5380,34,72,6501,5238,3384,2728,656,1854,37,2628,1551,254,730,93,0,4656,4070,1005,1085,710,499,337,225,38,36728.39506,2894,1276,1618,556,3450,985,1511,311,327,306,5.552356021,8,328,1509,1605,-9999,458,1489,1151,278,74,921,315,16,24,123391.0891,2709,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,518,383,261,254,233,2539,Manufacturing,Transportation,Wholesale Trade,Education,Retail Trade,745,525,485,364,192,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,1078,567,150,138,60,Outside of Chicago,Roseland,East Side,West Pullman,Washington Heights,1320,80,79,49,48,,,,,,,,,,,,,,,,13259,,,,,,,,,,0.424461914,1354.48933,139.5140872,0.103001245,78.20551807,0.05773801,2.180721407,0.001609995,55.89225081,0.041264445,164.3894156,0.121366342,255.7564646,0.188821321,445.2487058,0.328720718,n/a,n/a,2.759426902,0.002037245,210.5427398,0.155440678
Riverdale,9809,6482,-3327,7090,3466,1463,1108,706,276,71,20.59747899,77,278,6676,26,33,7042,4151,2353,1393,960,1798,80,1280,654,77,437,104,8,3003,2238,151,1543,534,110,91,16,0,14845.50562,2294,241,2053,972,3266,540,1542,141,102,941,4.996882307,30,279,2375,582,-9999,431,1263,1244,270,58,228,13,0,0,55571.42857,1533,Health Care,Retail Trade,Administration,Accommodation and Food Service,Transportation,337,169,163,161,130,1153,Manufacturing,Utilities,Transportation,Professional,Health Care,290,255,166,138,95,Outside of Chicago,The Loop,Near West Side,Near North Side,Douglas,720,177,98,93,29,Outside of Chicago,West Pullman,Auburn Gresham,Roseland,Ashburn,834,18,16,15,13,,,,,,,,,,,,,,,,9844,,,,,,,,,,37.99731727,2258.712054,222.4637421,0.098491413,49.85678259,0.022073102,0.834437822,0.000369431,28.72912568,0.012719251,58.48778599,0.025894308,252.3136175,0.111706854,1143.900387,0.506439227,6.084900241,0.002693969,269.4009795,0.119271945,226.6402959,0.1003405
Rogers Park,63484,54991,-8493,54402,11852,16546,12865,8665,3352,1122,33.83299982,22769,13135,13320,3501,1677,50990,45273,31691,28580,3093,13582,1678,26479,9696,2069,11558,2678,478,37029,31167,15502,8418,6171,3935,2128,1991,1177,37223.34004,23820,5925,17895,3744,27564,1515,609,855,3074,21498,4.425862326,1163,3430,7419,15552,-9999,14090,9008,3365,728,373,1950,2624,931,375,189788.1356,21985,Health Care,Education,Accommodation and Food Service,Retail Trade,Professional,3543,2523,2371,2155,1997,10260,Education,Health Care,Manufacturing,Other Service,Accommodation and Food Service,3678,1757,1646,1041,733,Outside of Chicago,The Loop,Near North Side,Near West Side,Rogers Park,8718,3630,2260,1070,1057,Outside of Chicago,Rogers Park,West Ridge,Edgewater,Uptown,4525,1057,704,513,280,,,,,,,,,,,,,,,,9001,,,,,,,,,,1.269229598,1175.921114,145.8700786,0.124047504,372.6376492,0.316890006,21.81279037,0.018549535,60.75746499,0.051667977,80.27974397,0.068269668,49.88507561,0.042422128,371.12358,0.315602446,n/a,n/a,69.04862858,0.058718759,4.506102981,0.003831977
Roseland,52723,44619,-8104,42505,11631,7897,7019,8612,5569,1777,38.85670927,557,450,40846,185,467,41827,33790,18155,13540,4586,15635,370,12894,7463,1019,3913,460,39,28088,23648,5573,5109,3890,2340,1238,1373,382,37241.97248,14332,8012,6320,3450,17782,10414,1460,2511,1383,1955,6.255652174,812,1230,8942,6798,-9999,1551,5408,6818,2656,1349,5120,2561,162,120,125714.5904,12893,Health Care,Education,Retail Trade,Administration,Transportation,2568,1602,1269,1259,1027,3499,Health Care,Administration,Accommodation and Food Service,Transportation,Retail Trade,1021,808,415,395,335,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,4744,2834,797,670,248,Outside of Chicago,Roseland,West Pullman,Auburn Gresham,Washington Heights,1731,226,134,109,87,,,,,,,,,,,,,,,,13634,,,,,,,,,,1.65286838,3083.418424,1138.096106,0.369102065,182.0211023,0.059032242,15.56613147,0.005048336,71.91451278,0.023322982,322.0407848,0.104442778,10.6467608,0.003452908,1124.944384,0.364836759,n/a,n/a,70.2551705,0.022784832,147.9334709,0.047977099
South Chicago,38596,31198,-7398,28095,8536,5733,5213,4858,2751,1004,34.06318427,782,6083,20818,110,302,27929,21333,12409,9700,2709,8924,318,9134,5184,711,2862,229,148,17287,13325,2766,4636,2828,1216,734,489,287,28503.81679,10190,3965,6225,3818,14008,4151,373,3391,3121,2957,5.636477672,447,1362,4990,7209,-9999,2463,4742,4803,1379,621,2585,1184,124,72,119157.4202,8364,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,1691,877,822,781,721,2908,Health Care,Accommodation and Food Service,Retail Trade,Construction,Education,1114,631,356,149,145,Outside of Chicago,The Loop,Near West Side,Near North Side,South Chicago,3103,1542,591,509,200,Outside of Chicago,South Chicago,East Side,South Shore,South Deering,1400,200,141,100,85,,,,,,,,,,,,,,,,11994,,,,,,,,,,2.238528678,2140.676044,367.1551356,0.171513638,271.2628687,0.126718318,24.12332057,0.01126902,65.83602392,0.030754781,73.27097232,0.034227959,34.46740967,0.01610118,631.8325499,0.295155613,n/a,n/a,62.8914632,0.029379253,609.8363004,0.284880238
South Deering,16990,15109,-1881,15305,4415,2925,2670,3004,1851,440,37.06367925,592,4580,9971,8,154,15221,11928,6989,5222,1767,4939,214,4841,3000,572,1198,50,21,9739,7673,1052,1984,1434,830,371,337,112,35056.02241,5068,2928,2140,718,5786,2737,1674,639,307,393,5.925537493,8,451,3511,1816,-9999,387,2054,2368,672,305,2373,502,6,36,106118.5133,4580,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,814,485,445,424,407,6536,Manufacturing,Transportation,Wholesale Trade,Retail Trade,Administration,4246,523,424,384,363,Outside of Chicago,The Loop,Near West Side,Near North Side,South Deering,1668,900,263,261,105,Outside of Chicago,East Side,South Deering,Roseland,Hegewisch,4782,138,105,104,92,,,,,,,,,,,,,,,,14866,,,,,,,,,,36.13859525,6974.220837,417.0314979,0.059796142,63.41777427,0.00909317,8.325779504,0.001193794,63.86887209,0.009157851,40.47882316,0.005804064,646.2431988,0.092661706,4541.853751,0.651234576,n/a,n/a,553.1012003,0.079306522,639.8999398,0.091752176
South Lawndale,91071,79288,-11783,73826,24137,19875,16014,9057,3641,1102,29.01023018,2267,62928,8158,181,292,65932,54964,29229,25383,3846,25735,627,24405,12380,5596,4080,2006,343,42353,20862,2461,7368,6316,2631,845,715,173,30700.55797,18048,6452,11596,3441,21489,3700,477,8030,6324,2881,4.962476437,250,766,2208,18265,-9999,2617,10852,6056,1255,709,3446,2727,275,4,143090.4523,16728,Manufacturing,Administration,Retail Trade,Health Care,Accommodation and Food Service,2905,2339,1753,1716,1647,11188,Health Care,Manufacturing,Administration,Transportation,Accommodation and Food Service,2013,2010,1421,1395,1139,Outside of Chicago,The Loop,Near West Side,South Lawndale,Near North Side,7450,1818,865,734,695,Outside of Chicago,South Lawndale,Brighton Park,Austin,Chicago Lawn,5518,734,224,189,184,,,,,,,,,,,,,,,,11173,,,,,,,,,,0.348515963,2938.436588,238.1139764,0.08103424,437.0477475,0.14873479,42.99371234,0.014631492,107.5563413,0.036603254,318.1655806,0.108277164,488.6452748,0.166294307,1057.503448,0.359886428,n/a,n/a,25.72953947,0.0087562,222.6809672,0.075782124
South Shore,61556,52010,-9546,51451,13856,10799,9730,10365,4849,1852,36.52042029,1104,894,48089,182,1182,50431,40455,23772,18497,5276,16682,734,17365,8752,1235,6823,372,183,33537,29049,7376,10943,5036,3248,1617,1199,502,26425.17301,22545,5187,17358,6377,28922,3775,655,2438,5763,16260,5.058439675,931,2905,12271,12815,-9999,10623,9741,6033,1773,752,2602,1776,560,240,149170.9184,15654,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3202,1665,1646,1475,1447,3926,Health Care,Retail Trade,Other Service,Administration,Accommodation and Food Service,1734,719,321,281,219,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,4991,3127,1398,1136,419,Outside of Chicago,South Shore,Greater Grand Crossing,Auburn Gresham,Chatham,1525,332,103,101,100,,,,,,,,,,,,,,,,9846,,,,,,,,,,2.81289248,1877.044523,373.164648,0.198804367,465.6814639,0.248092924,19.64260924,0.010464647,94.49946609,0.050344819,72.08705795,0.038404554,14.50662207,0.007728438,610.504028,0.325247494,0.071970941,3.83E-05,144.726131,0.077103196,82.1605258,0.043771218
The Loop,16388,29283,12895,33442,4915,14245,5903,5855,2137,387,32.31094021,20378,2156,4131,5733,1044,29502,31273,22787,21494,1202,8486,1906,19442,4968,684,4817,8492,481,24846,24408,19569,3139,2009,2150,2396,3355,5046,93254.3823,18095,7455,10640,3371,21466,417,186,72,28,20639,3.701463684,8775,6806,2090,3795,-9999,11297,8093,1806,236,34,539,2122,2829,1358,338207.311,15196,Professional,Finance,Health Care,Education,Administration,3015,2161,1639,1544,970,392758,Professional,Finance,Education,Public Administration,Administration,92538,68570,60621,47458,32560,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,5791,4241,1442,1334,452,Outside of Chicago,Lake View,Near North Side,West Town,Lincoln Park,176694,16170,13654,10021,9890,,,,,,,,,,,,,,,,7080,,,,,,,,,,7.471548052,1059.099001,7.622000148,0.007196683,80.46013414,0.075970362,0.724218415,0.000683806,213.3039883,0.201401369,34.07594636,0.032174467,0.608380061,0.000574432,425.2176683,0.40149001,n/a,n/a,249.86351,0.235920825,47.22315514,0.044588046
